epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
201,-14.260188,6.0263863,290.6306,19.168886,3.4954112,4.272739
202,-14.260871,5.850322,283.2658,12.379512,3.2136729,3.7865994
203,-14.214373,5.7036757,293.12106,13.832402,3.1495237,3.724358
204,-14.211719,5.804927,310.21622,18.486254,3.0991993,3.672664
205,-14.570879,5.771514,312.86627,15.042276,3.0084157,3.598525
206,-14.626797,5.746336,300.59674,12.894956,3.1753109,3.8911777
207,-14.438568,5.688617,299.8719,8.834178,3.1300232,3.7312531
208,-14.676787,5.835382,308.28278,14.438318,3.1639435,3.9562552
209,-14.536142,5.9139433,297.6519,11.927937,3.200512,3.8991075
210,-14.799496,5.839015,301.4203,8.341726,3.1989815,3.7956026
211,-14.893066,6.051946,317.6479,10.313336,3.189915,3.9494774
212,-14.975682,5.811858,321.16003,11.7779,3.021466,3.7005396
213,-15.105701,6.025613,333.59338,10.959189,3.1041038,3.7601771
214,-15.003654,5.862363,330.43005,10.2960825,3.2018955,3.8239665
215,-15.092904,6.0257087,330.6382,9.961618,3.4117897,3.8383741
216,-15.2739725,6.087193,325.14145,11.015337,3.2076092,3.7474217
217,-15.347775,6.104702,327.89594,11.6580715,3.3283503,3.9924564
218,-15.629967,5.884168,330.71475,8.893271,3.316802,3.7463496
219,-15.493565,5.892412,334.5964,12.785982,3.0903351,3.6941233
220,-15.812852,5.9802284,337.545,9.373832,3.4774816,3.863454
221,-15.656291,6.071444,354.62442,11.960945,3.231419,3.8026285
222,-15.8104,6.1276093,338.7383,11.81642,3.604614,3.9597292
223,-15.849598,6.029379,342.10785,13.515232,3.145966,3.662213
224,-15.905445,6.030488,337.35254,11.137569,3.1538618,3.7630107
225,-15.923189,5.977633,347.90985,8.948616,3.1460378,3.662144
226,-15.813478,6.1166487,342.89264,20.270609,3.2817705,3.6946666
227,-15.823612,6.086523,325.97513,9.455211,3.4160473,3.9128332
228,-15.955866,5.915551,323.03415,16.581352,3.1170878,3.5404058
229,-15.857549,5.8999805,314.73282,12.027156,2.9871252,3.5264473
230,-16.00877,6.202198,323.50308,11.914521,3.5976956,3.9473631
231,-16.152567,5.9498873,330.8569,8.550955,3.2653062,3.7959948
232,-16.117523,6.134121,339.10992,8.28518,3.431305,3.8960865
233,-16.324955,6.2003794,332.43842,9.920483,3.430681,3.8846576
234,-16.286263,5.853926,327.49164,10.127893,3.0421746,3.4572027
235,-16.2851,5.9537272,310.70523,9.77544,3.4667785,4.0130444
236,-16.590115,6.1374626,307.85266,11.53735,3.5802698,3.9433982
237,-16.538218,6.051592,314.88574,12.30531,3.1511009,3.576773
238,-16.627333,5.952418,310.59232,8.6205,3.3830929,3.8120716
239,-16.587635,6.0653944,312.7284,10.406331,3.3751836,4.0083194
240,-16.663797,6.0357633,309.72922,10.967893,3.5894737,3.9417484
241,-16.935753,5.9944115,316.9392,11.232284,3.4429922,3.9269567
242,-16.957047,6.025895,312.44064,11.629078,3.4111123,3.8904881
243,-16.871504,5.9724374,310.50974,11.416153,3.432415,3.7542803
244,-17.022844,6.0055213,306.64694,14.052613,3.2591434,3.95508
245,-17.161081,5.9955106,298.32944,13.231198,3.2958908,3.851542
246,-16.96288,6.1763153,312.39795,11.910898,3.3317227,3.8917646
247,-17.020836,6.109105,308.8482,18.346651,3.3126705,3.7272227
248,-17.098112,6.113366,309.39957,13.779655,3.4760966,3.8779736
249,-17.33866,5.880629,287.289,14.486839,3.204584,3.6156397
250,-17.295805,6.0056157,299.93478,12.369781,3.4424143,3.8973675
251,-17.481781,5.8868546,292.82355,12.427029,3.0657444,3.604476
252,-17.508183,5.793047,283.3345,13.581465,3.2741404,3.8267317
253,-17.36227,5.8992786,290.91663,9.833624,3.513545,3.7939363
254,-17.568054,5.7918134,274.6548,12.469957,3.351964,3.8068933
