lepoch,energy,energy_std,learning_rate
472,-24.417946,0.26091418,0.08287473
473,-24.421219,0.2546358,0.10359341
474,-24.414421,0.26693556,0.12949176
475,-24.408722,0.2938414,0.07826613
476,-24.418465,0.29909816,0.03923384
477,-24.411776,0.25916386,0.0490423
478,-24.427074,0.2647225,0.061302874
479,-24.41514,0.2716796,0.076628596
480,-24.412468,0.25819173,0.095785744
481,-24.40787,0.26704574,0.11973218
482,-24.421875,0.26937068,0.14966522
483,-24.42528,0.26963964,0.15
484,-24.420563,0.32575282,0.053195816
485,-24.424824,0.28032035,0.03676549
486,-24.41829,0.27233487,0.04595686
487,-24.419518,0.2732015,0.057446077
488,-24.410738,0.27312034,0.07180759
489,-24.417675,0.26990035,0.08975949
490,-24.419016,0.2662198,0.112199366
491,-24.420515,0.27392125,0.14024921
492,-24.413414,0.32239038,0.05643037
493,-24.411118,0.27094728,0.038898468
494,-24.41977,0.26142597,0.048623085
495,-24.422499,0.26470694,0.060778856
496,-24.425508,0.2561521,0.07597357
497,-24.421618,0.27079687,0.09496696
498,-24.426792,0.26904148,0.1187087
499,-24.425106,0.2754614,0.14838588
500,-24.422453,0.2834163,0.08231216
501,-24.41383,0.31505212,0.033568755
502,-24.421999,0.26015487,0.041960943
503,-24.414366,0.261439,0.05245118
504,-24.405542,0.27274573,0.06556398
505,-24.415052,0.26085067,0.08195497
506,-24.407192,0.2710185,0.10244371
507,-24.420317,0.26303324,0.12805463
508,-24.415882,0.2717126,0.11809188
509,-24.41007,0.33736652,0.039078984
510,-24.413055,0.26613936,0.04884873
511,-24.422407,0.25674447,0.061060913
512,-24.420176,0.2606885,0.07632614
513,-24.419859,0.25494856,0.09540767
514,-24.418005,0.25766173,0.11925959
515,-24.413832,0.26007646,0.14907448
516,-24.41106,0.28235912,0.10039957
517,-24.41953,0.31153712,0.04540138
518,-24.420095,0.26290134,0.056751724
519,-24.42138,0.2671314,0.07093965
520,-24.418894,0.26374882,0.08867457
521,-24.41894,0.25847626,0.11084321
522,-24.421637,0.25940698,0.138554
523,-24.418184,0.26644233,0.15
524,-24.422453,0.26020908,0.13556638
525,-24.409979,0.30929917,0.05514528
526,-24.415516,0.2690516,0.04396075
527,-24.419636,0.261746,0.054950938
528,-24.416962,0.26182145,0.068688676
529,-24.418167,0.2574224,0.08586085
530,-24.415998,0.26804745,0.10732606
531,-24.415724,0.266433,0.13415757
532,-24.421415,0.30377072,0.060280737
533,-24.421778,0.28672323,0.03653448
534,-24.422918,0.25878623,0.045668103
535,-24.41593,0.2668526,0.057085127
536,-24.427988,0.26373008,0.07135641
537,-24.414227,0.25582865,0.08919551
538,-24.425097,0.26172,0.11149439
539,-24.420782,0.26441962,0.139368
540,-24.411089,0.27706233,0.102656044
541,-24.416636,0.31465724,0.04034476
542,-24.420448,0.26846457,0.05043095
543,-24.418013,0.2623441,0.063038684
544,-24.417206,0.255629,0.07879835
545,-24.420992,0.2511319,0.09849794
546,-24.42384,0.2518727,0.123122424
547,-24.420328,0.2655485,0.15
548,-24.412416,0.26377308,0.12915465
549,-24.418442,0.33424014,0.04068682
550,-24.428274,0.25958154,0.050858524
551,-24.423626,0.2670192,0.06357315
552,-24.41302,0.26012108,0.07946644
553,-24.418722,0.26686847,0.09933305
554,-24.430975,0.251554,0.12416631
555,-24.415535,0.26138437,0.15
556,-24.415356,0.26775151,0.137265
557,-24.414148,0.34939605,0.039344538
558,-24.41055,0.26009986,0.04918067
559,-24.414404,0.26247203,0.06147584
560,-24.41682,0.25580952,0.0768448
561,-24.426786,0.27228317,0.096056
562,-24.415897,0.2615008,0.120069996
563,-24.421488,0.2645637,0.15
564,-24.409117,0.30755794,0.06853937
565,-24.421253,0.28523123,0.034321964
566,-24.422625,0.25934777,0.042902455
567,-24.415855,0.25891182,0.05362807
568,-24.427872,0.26697344,0.06703509
569,-24.428978,0.26348618,0.083793856
570,-24.432913,0.25898135,0.10474232
571,-24.424921,0.2592169,0.13092789
572,-24.41396,0.3138896,0.047129553
573,-24.414118,0.26280758,0.04573321
574,-24.42722,0.2572195,0.057166513
575,-24.423851,0.25293574,0.07145814
576,-24.429874,0.24337246,0.08932267
577,-24.42199,0.25788772,0.11165334
578,-24.420597,0.25555328,0.13956667
579,-24.424772,0.2527136,0.15
580,-24.411749,0.27087072,0.119777165
581,-24.416893,0.3056173,0.04462538
582,-24.425657,0.26697674,0.055781722
583,-24.428246,0.25996768,0.06972715
584,-24.41725,0.25981078,0.08715894
585,-24.41064,0.25099063,0.10894868
586,-24.424887,0.2541836,0.13618585
587,-24.417843,0.28327775,0.07817904
588,-24.418446,0.29976943,0.032764386
589,-24.422787,0.25220358,0.040955484
590,-24.420486,0.25701877,0.051194355
591,-24.41816,0.24492882,0.06399295
592,-24.413853,0.25978085,0.079991184
593,-24.421793,0.2542541,0.09998898
